# Magnetic Anomaly Timescales compiled by EarthByte July 2011
# Timescales are:
# [1] Gee, J.S. and D.V. Kent, 2007, Source of oceanic magnetic anomalies
#	and the geomagnetic polarity timescale, in Treatise on Geophysics,
#	v. 5, Geomagnetism, M. Kono, (ed.), Elsevier, Amsterdam, 455-507.
# [2] Cande, S. C., and D. V. Kent (1995), Revised calibration of the
#	geomagnetic polarity timescale for the Late Cretaceous and Cenozoic,
#	J. Geophys. Res., 100(B4), 6093-6095.
# [3] Gradstein, F. M., J. G. Ogg, and A. G. Smith (2005), A geologic time
#	scale 2004, 610 pp., Cambridge Univ. Press.
#
# 1st column:   Name of a normal chron
# 2-3 columns:  Young and old end in My of normal chron for Gee & Kent (2007)
# 4-5 columns:  Young and old end in My of normal chron for Cande & Kent (1995)
# 6-7 columns:  Young and old end in My of normal chron for Gradstein et al, (2005)
# 8th column:   Name of a reverse chron
# 9-10 columns: Young and old end in My of reverse chron for Gee & Kent (2007)
# 11-12 columns: Young and old end in My of reverse chron for Cande & Kent (1995)
# 13-14 columns: Young and old end in My of reverse chron for Gradstein et al, (2005)
#-------------------------------------------------------------------------------------------------------------------
#Nchron	y	o	y	o	y	o	Rchron	y	o	y	o	y	o
C1n	0	0.78	0	0.78	0	0.781	C1r.1r 	0.78	0.99	0.78	0.99	0.781	0.988
C1r.1n	0.99	1.07	0.99	1.07	0.988	1.072	C1r.2r 	1.07	1.201	1.07	N/A	1.072	1.072
C1r.2r-1n	1.201	1.211	N/A	N/A	1.072	1.173	C1r.2r 	1.211	1.77	N/A	1.77	1.173	1.778
C2n	1.77	1.95	1.77	1.95	1.778	1.945	C2r.1r 	1.95	2.14	1.95	2.14	1.945	2.128
C2r.1n	2.14	2.15	2.14	2.15	2.128	2.148	C2r.2r 	2.15	2.581	2.15	2.581	2.148	2.518
C2An.1n	2.581	3.04	2.581	3.04	2.518	3.032	C2An.1r 	3.04	3.11	3.04	3.11	3.032	3.116
C2An.2n	3.11	3.22	3.11	3.22	3.116	3.207	C2An.2r 	3.22	3.33	3.22	3.33	3.207	3.33
C2An.3n	3.33	3.58	3.33	3.58	3.33	3.596	C2Ar 	3.58	4.18	3.58	4.18	3.596	4.187
C3n.1n	4.18	4.29	4.18	4.29	4.187	4.3	C3n.1r 	4.29	4.48	4.29	4.48	4.3	4.493
C3n.2n	4.48	4.62	4.48	4.62	4.493	4.631	C3n.2r 	4.62	4.8	4.62	4.8	4.631	4.799
C3n.3n	4.8	4.89	4.8	4.89	4.799	4.896	C3n.3r 	4.89	4.98	4.89	4.98	4.896	4.997
C3n.4n	4.98	5.23	4.98	5.23	4.997	5.235	C3r 	5.23	5.894	5.23	5.894	5.235	6.033
C3An.1n	5.894	6.137	5.894	6.137	6.033	6.252	C3An.1r 	6.137	6.269	6.137	6.269	6.252	6.436
C3An.2n	6.269	6.567	6.269	6.567	6.436	6.733	C3Ar 	6.567	6.935	6.567	6.935	6.733	7.14
C3Bn	6.935	7.091	6.935	7.091	7.14	7.212	C3Br.1r 	7.091	7.135	7.091	7.135	7.212	7.212
C3Br.1n	7.135	7.17	7.135	7.17	7.212	7.251	C3Br.2r 	7.17	7.341	7.17	7.341	7.251	7.454
C3Br.2n	7.341	7.375	7.341	7.375	7.454	7.489	C3Br.3r 	7.375	7.432	7.375	7.432	7.489	7.528
C4n.1n	7.432	7.562	7.432	7.562	7.528	7.642	C4n.1r 	7.562	7.65	7.562	7.65	7.642	7.695
C4n.2n	7.65	8.072	7.65	8.072	7.695	8.108	C4r.1r 	8.072	8.225	8.072	8.225	8.108	8.254
C4r.1n 	8.225	8.257	8.225	8.257	8.254	8.3	C4r.2r 	8.257	8.606	8.257	N/A	8.3	8.661
C4r.2r-1n 	8.606	8.664	N/A	N/A	8.661	8.699	C4r.2r 	8.664	8.699	N/A	8.699	8.699	8.769
C4An 	8.699	9.025	8.699	9.025	8.769	9.098	C4Ar.1r	9.025	9.097	9.025	N/A	9.098	N/A
C4Ar.1r-1n	9.097	9.117	N/A	N/A	N/A	N/A	C4Ar.1r	9.117	9.23	N/A	9.23	N/A	9.312
C4Ar.1n 	9.23	9.308	9.23	9.308	9.312	9.409	C4Ar.2r 	9.308	9.58	9.308	9.58	9.409	9.656
C4Ar.2n 	9.58	9.642	9.58	9.642	9.656	9.717	C4Ar.3r 	9.642	9.74	9.642	9.74	9.717	9.779
C5n.1n 	9.74	9.88	9.74	9.88	9.779	9.934	C5n.1r 	9.88	9.92	9.88	9.92	9.934	9.987
C5n.2n 	9.92	10.949	9.92	10.949	9.987	11.04	C5r.1r 	10.949	11.052	10.949	11.052	11.04	11.118
C5r.1n 	11.052	11.099	11.052	11.099	11.118	11.154	C5r.2r	11.099	11.167	11.099	N/A	11.154	11.267
C5r.2r-1n 	11.167	11.193	N/A	N/A	11.267	11.298	C5r.2r	11.193	11.352	N/A	N/A	11.298	N/A
C5r.2r-2n 	11.352	11.363	N/A	N/A	N/A	11.504	C5r.2r 	11.363	11.476	N/A	11.476	11.504	11.554
C5r.2n 	11.476	11.531	11.476	11.531	11.554	11.614	C5r.3r	11.531	11.555	11.531	N/A	11.614	N/A
C5r.3r-1n 	11.555	11.584	N/A	N/A	N/A	N/A	C5r.3r	11.584	11.935	N/A	11.935	N/A	12.014
C5An.1n 	11.935	12.078	11.935	12.078	12.014	12.116	C5An.1r 	12.078	12.184	12.078	12.184	12.116	12.207
C5An.2n 	12.184	12.401	12.184	12.401	12.207	12.415	C5Ar.1r 	12.401	12.678	12.401	12.678	12.415	12.73
C5Ar.1n 	12.678	12.708	12.678	12.708	12.73	12.765	C5Ar.2r 	12.708	12.775	12.708	12.775	12.765	12.82
C5Ar.2n 	12.775	12.819	12.775	12.819	12.82	12.878	C5Ar.3r 	12.819	12.991	12.819	12.991	12.878	13.015
C5AAn 	12.991	13.139	12.991	13.139	13.015	13.183	C5AAr 	13.139	13.302	13.139	13.302	13.183	13.369
C5ABn 	13.302	13.51	13.302	13.51	13.369	13.605	C5ABr 	13.51	13.703	13.51	13.703	13.605	13.734
C5ACn 	13.703	14.076	13.703	14.076	13.734	14.095	C5ACr 	14.076	14.178	14.076	14.178	14.095	14.194
C5ADn 	14.178	14.612	14.178	14.612	14.194	14.581	C5ADr 	14.612	14.8	14.612	14.8	14.581	14.784
C5Bn.1n 	14.8	14.888	14.8	14.888	14.784	14.877	C5Bn.1r	14.888	15.034	14.888	15.034	14.877	15.032
C5Bn.2n 	15.034	15.155	15.034	15.155	15.032	15.16	C5Br 	15.155	16.014	15.155	16.014	15.16	15.974
